StoreId,ProductSku,ProductName,ProductDescription,Pricing,DateTimestamp
BF_Plateau-Central_Amazon Retail,BW_PUM_SHO_TUR_35_777,Puma_Shorts,Puma Shorts: Cool and comfortable shorts for a relaxed style.,574.12,01/05/2023 21:43:49
BF_Plateau-Central_Amazon Retail,BW_ADI_SHO_GRE_41_360,Adidas_Shorts,Adidas Shorts: Cool and comfortable shorts for a relaxed style.,176.46,04/05/2023 11:55:45
BF_Plateau-Central_Amazon Retail,FW_GUC_SNE_SAL_07_903,Gucci_Sneaker,Gucci Sneaker: Comfort and style combined for your active lifestyle.,759.03,04/15/2023 14:10:19
BF_Plateau-Central_Amazon Retail,BW_REE_CHI_VIO_29_290,Reebok_Chinos,Reebok Chinos: Elevate your style with our fashionable chinos.,305.36,12/09/2022 14:58:55
BF_Plateau-Central_Amazon Retail,FW_NIK_HIG_MAG_13_734,Nike_High Heels,Nike High Heels: Sleek and modern design for a chic appearance.,420.80,12/29/2022 00:49:17
BF_Plateau-Central_Amazon Retail,BW_GUC_JEA_GRE_31_288,Gucci_Jeans,"Gucci Jeans: Versatile and trendy, perfect for any occasion.",672.62,07/20/2023 08:47:53
BF_Plateau-Central_Amazon Retail,FW_REE_SNE_GOL_09_740,Reebok_Sneaker,Reebok Sneaker: Elevate your performance with our latest technology.,131.27,07/12/2023 09:09:10
BF_Plateau-Central_Amazon Retail,FW_REE_LOA_VIO_10_125,Reebok_Loafer,Reebok Loafer: Step into sophistication with our loafers.,987.53,10/12/2023 22:18:24
BF_Plateau-Central_Amazon Retail,TW_GUC_T-S_MAG_42_249,Gucci_T-Shirt,"Gucci T-Shirt: Versatile and stylish, perfect for any occasion.",333.88,04/11/2023 03:42:02
BF_Plateau-Central_Amazon Retail,FW_ADI_SAN_IND_07_626,Adidas_Sandals,Adidas Sandals: Perfect for a day at the beach or a casual stroll.,458.84,12/25/2022 06:33:20
BF_Plateau-Central_Amazon Retail,TW_NIK_TAN_RED_43_767,Nike_Tank Top,Nike Tank Top: Show off those muscles with our trendy tank tops.,898.40,11/27/2022 18:45:49
BF_Plateau-Central_Amazon Retail,TW_GUC_TAN_PLU_42_477,Gucci_Tank Top,Gucci Tank Top: Ideal for warm weather and active lifestyles.,981.99,05/26/2023 18:14:59
BF_Plateau-Central_Amazon Retail,TW_NIK_HOO_PLU_37_719,Nike_Hoodie,Nike Hoodie: Cozy up with our comfortable and stylish hoodies.,900.45,09/24/2023 17:45:40
BF_Plateau-Central_Amazon Retail,BW_GUC_JEA_LIM_39_656,Gucci_Jeans,"Gucci Jeans: Versatile and trendy, perfect for any occasion.",45.88,08/26/2023 22:29:36
BF_Plateau-Central_Amazon Retail,TW_PUM_POL_TEA_39_267,Puma_Polo,Puma Polo: Timeless polo design for a sporty yet refined look.,470.82,01/04/2023 13:35:48
BF_Plateau-Central_Amazon Retail,TW_ADI_POL_LIM_44_183,Adidas_Polo,Adidas Polo: Perfect blend of comfort and sophistication.,707.79,10/06/2023 11:30:43
BF_Plateau-Central_Amazon Retail,FW_GUC_LOA_PUR_12_766,Gucci_Loafer,Gucci Loafer: Step into sophistication with our loafers.,798.65,11/02/2023 12:42:39
BF_Plateau-Central_Amazon Retail,BW_REE_JEA_LIM_44_121,Reebok_Jeans,Reebok Jeans: Our signature jeans for a stylish look.,113.54,05/29/2023 04:27:50
BF_Plateau-Central_Amazon Retail,FW_REE_LOA_MIN_10_826,Reebok_Loafer,Reebok Loafer: Step into sophistication with our loafers.,621.99,10/17/2023 16:37:17
BF_Plateau-Central_Amazon Retail,TW_REE_POL_IVO_40_962,Reebok_Polo,Reebok Polo: Timeless polo design for a sporty yet refined look.,280.76,01/09/2023 08:11:53
BF_Plateau-Central_Amazon Retail,BW_NIK_CHI_LAV_36_733,Nike_Chinos,Nike Chinos: Elevate your style with our fashionable chinos.,611.87,03/21/2023 05:28:33
BF_Plateau-Central_Amazon Retail,BW_NIK_JEA_ORC_33_193,Nike_Jeans,Nike Jeans: Our signature jeans for a stylish look.,468.01,06/09/2023 15:58:38
BF_Plateau-Central_Amazon Retail,TW_PUM_LON_SIL_36_325,Puma_Long Sleeve,Puma Long Sleeve: Elevate your style with our fashionable long sleeves.,418.49,09/25/2023 22:07:50
BF_Plateau-Central_Amazon Retail,TW_PUM_HOO_BLA_39_680,Puma_Hoodie,Puma Hoodie: Stay on-trend with our fashionable hoodie collection.,872.50,11/30/2022 02:22:00
BF_Plateau-Central_Amazon Retail,BW_NIK_SHO_LAV_32_766,Nike_Shorts,Nike Shorts: Cool and comfortable shorts for a relaxed style.,402.66,11/20/2022 14:03:44
BF_Plateau-Central_Amazon Retail,TW_NIK_T-S_GRE_39_652,Nike_T-Shirt,Nike T-Shirt: Classic and comfortable for everyday wear.,690.77,10/05/2023 15:42:34
BF_Plateau-Central_Amazon Retail,BW_REE_SHO_PIN_39_415,Reebok_Shorts,Reebok Shorts: Stay on-trend with our fashionable shorts collection.,922.84,03/30/2023 02:36:55
BF_Plateau-Central_Amazon Retail,FW_GUC_HIG_ORC_07_166,Gucci_High Heels,Gucci High Heels: Elegant high heels to make a statement.,921.48,05/22/2023 08:56:49
BF_Plateau-Central_Amazon Retail,TW_PUM_LON_FUC_38_908,Puma_Long Sleeve,Puma Long Sleeve: Stay warm and trendy with our long sleeve shirts.,683.53,04/16/2023 11:07:27
BF_Plateau-Central_Amazon Retail,TW_GUC_TAN_MIN_36_759,Gucci_Tank Top,Gucci Tank Top: Cool and comfortable tank tops for a laid-back style.,454.83,01/14/2023 03:53:40
BF_Plateau-Central_Amazon Retail,BW_PUM_JOG_LIM_40_474,Puma_Joggers,Puma Joggers: Casual and perfect for your active lifestyle.,417.67,10/05/2023 00:39:13
