StoreId,ProductSku,ProductName,ProductDescription,Pricing,DateTimestamp
GY_Cuyuni-Mazaruni_Walmart,TW_PUM_POL_SKY_42_018,Puma_Polo,Puma Polo: Perfect blend of comfort and sophistication.,451.93,03/01/2023 00:29:46
GY_Cuyuni-Mazaruni_Walmart,FW_GUC_SNE_MAG_09_421,Gucci_Sneaker,Gucci Sneaker: Innovative design for the modern athlete.,263.86,07/06/2023 14:00:06
GY_Cuyuni-Mazaruni_Walmart,FW_GUC_HIG_BLA_13_991,Gucci_High Heels,Gucci High Heels: Dress up your outfit with our stylish high heels.,647.42,08/04/2023 23:38:26
GY_Cuyuni-Mazaruni_Walmart,BW_GUC_CHI_OLI_40_363,Gucci_Chinos,Gucci Chinos: Stay classy and comfortable with our chinos.,200.01,07/08/2023 06:45:56
GY_Cuyuni-Mazaruni_Walmart,TW_ADI_T-S_VIO_40_434,Adidas_T-Shirt,"Adidas T-Shirt: Versatile and stylish, perfect for any occasion.",99.01,07/13/2023 03:40:44
GY_Cuyuni-Mazaruni_Walmart,FW_GUC_BOO_ORA_13_528,Gucci_Boot,Gucci Boot: Step out in style with our fashionable boots.,243.41,05/09/2023 19:17:09
GY_Cuyuni-Mazaruni_Walmart,FW_GUC_BOO_AZU_06_152,Gucci_Boot,Gucci Boot: Durable and ready for any adventure.,908.04,06/27/2023 19:55:17
GY_Cuyuni-Mazaruni_Walmart,TW_NIK_TAN_FUC_44_630,Nike_Tank Top,Nike Tank Top: Show off those muscles with our trendy tank tops.,435.78,12/28/2022 16:32:11
GY_Cuyuni-Mazaruni_Walmart,BW_ADI_SHO_GRE_43_681,Adidas_Shorts,Adidas Shorts: Ideal for warm weather and outdoor activities.,527.16,12/11/2022 21:46:02
GY_Cuyuni-Mazaruni_Walmart,FW_ADI_BOO_SKY_13_696,Adidas_Boot,Adidas Boot: Durable and ready for any adventure.,578.75,10/04/2023 22:36:56
GY_Cuyuni-Mazaruni_Walmart,BW_PUM_JEA_MAR_39_530,Puma_Jeans,Puma Jeans: Classic and comfortable for everyday wear.,345.86,01/31/2023 01:35:34
GY_Cuyuni-Mazaruni_Walmart,TW_PUM_TAN_BLA_40_809,Puma_Tank Top,Puma Tank Top: Cool and comfortable tank tops for a laid-back style.,526.97,12/21/2022 23:08:59
GY_Cuyuni-Mazaruni_Walmart,FW_NIK_HIG_AZU_12_324,Nike_High Heels,Nike High Heels: Elegant high heels to make a statement.,559.00,06/13/2023 13:36:25
GY_Cuyuni-Mazaruni_Walmart,FW_REE_LOA_IVO_06_437,Reebok_Loafer,Reebok Loafer: Step into sophistication with our loafers.,579.84,02/03/2023 02:05:59
GY_Cuyuni-Mazaruni_Walmart,TW_REE_TAN_MAR_39_903,Reebok_Tank Top,Reebok Tank Top: Ideal for warm weather and active lifestyles.,848.54,10/15/2023 14:47:10
GY_Cuyuni-Mazaruni_Walmart,BW_PUM_SHO_WHI_43_203,Puma_Shorts,Puma Shorts: Ideal for warm weather and outdoor activities.,458.02,03/20/2023 16:29:23
GY_Cuyuni-Mazaruni_Walmart,BW_PUM_JEA_SAL_28_620,Puma_Jeans,Puma Jeans: Classic and comfortable for everyday wear.,445.85,03/23/2023 20:37:17
GY_Cuyuni-Mazaruni_Walmart,TW_REE_POL_PUR_36_552,Reebok_Polo,Reebok Polo: Perfect blend of comfort and sophistication.,424.11,10/13/2023 18:51:09
GY_Cuyuni-Mazaruni_Walmart,TW_PUM_TAN_BLA_37_714,Puma_Tank Top,Puma Tank Top: Ideal for warm weather and active lifestyles.,598.30,09/14/2023 15:12:23
GY_Cuyuni-Mazaruni_Walmart,TW_ADI_HOO_SKY_39_670,Adidas_Hoodie,"Adidas Hoodie: Casual and warm, the perfect combination for fall.",605.17,06/21/2023 19:26:21
GY_Cuyuni-Mazaruni_Walmart,BW_ADI_SHO_GOL_43_176,Adidas_Shorts,Adidas Shorts: Ideal for warm weather and outdoor activities.,743.36,01/02/2023 11:05:18
GY_Cuyuni-Mazaruni_Walmart,BW_GUC_SHO_ORA_37_526,Gucci_Shorts,Gucci Shorts: Ideal for warm weather and outdoor activities.,457.06,07/18/2023 00:06:47
GY_Cuyuni-Mazaruni_Walmart,FW_ADI_SNE_ORA_08_789,Adidas_Sneaker,Adidas Sneaker: Comfort and style combined for your active lifestyle.,865.78,01/18/2023 02:04:41
GY_Cuyuni-Mazaruni_Walmart,FW_REE_HIG_GRE_10_964,Reebok_High Heels,Reebok High Heels: Dress up your outfit with our stylish high heels.,339.13,10/30/2023 06:29:35
GY_Cuyuni-Mazaruni_Walmart,FW_GUC_HIG_TUR_06_133,Gucci_High Heels,Gucci High Heels: Sleek and modern design for a chic appearance.,850.88,04/23/2023 10:08:59
GY_Cuyuni-Mazaruni_Walmart,TW_ADI_HOO_FUC_36_249,Adidas_Hoodie,Adidas Hoodie: Cozy up with our comfortable and stylish hoodies.,126.96,09/17/2023 14:05:06
GY_Cuyuni-Mazaruni_Walmart,TW_PUM_T-S_PUR_36_032,Puma_T-Shirt,Puma T-Shirt: Our signature T-shirt for a casual look.,842.85,12/03/2022 12:05:56
GY_Cuyuni-Mazaruni_Walmart,BW_NIK_JEA_IND_30_699,Nike_Jeans,Nike Jeans: Our signature jeans for a stylish look.,951.45,10/01/2023 06:40:02
GY_Cuyuni-Mazaruni_Walmart,TW_GUC_TAN_TUR_37_630,Gucci_Tank Top,Gucci Tank Top: Show off those muscles with our trendy tank tops.,755.64,11/30/2022 23:21:06
GY_Cuyuni-Mazaruni_Walmart,FW_REE_BOO_BLA_06_751,Reebok_Boot,Reebok Boot: Step out in style with our fashionable boots.,740.25,03/01/2023 06:31:26
GY_Cuyuni-Mazaruni_Walmart,BW_ADI_JOG_SIL_32_943,Adidas_Joggers,Adidas Joggers: Stay on-trend with our fashionable joggers collection.,788.46,05/07/2023 17:40:51
GY_Cuyuni-Mazaruni_Walmart,BW_NIK_SHO_IND_44_246,Nike_Shorts,Nike Shorts: Cool and comfortable shorts for a relaxed style.,253.17,11/18/2023 20:27:17
GY_Cuyuni-Mazaruni_Walmart,TW_NIK_LON_PIN_39_865,Nike_Long Sleeve,Nike Long Sleeve: Elevate your style with our fashionable long sleeves.,191.26,12/18/2022 17:53:32
